model,lake,cali,metric,value
Simstrat-LER,Rimov,calibrated,nse,0.9101
Simstrat-LER,Rimov,calibrated,r,0.95429
Simstrat-LER,Rimov,calibrated,bias,-0.08484
Simstrat-LER,Rotorua,calibrated,rmse,0.86305
Simstrat-LER,Rotorua,calibrated,nse,0.95381
Simstrat-LER,Rotorua,calibrated,r,0.98981
Simstrat-LER,Rotorua,calibrated,bias,-0.1472
Simstrat-LER,Sammamish,calibrated,rmse,0.74546
Simstrat-LER,Sammamish,calibrated,nse,0.97097
Simstrat-LER,Sammamish,calibrated,r,0.98714
Simstrat-LER,Sammamish,calibrated,bias,-0.06109
Simstrat-LER,Sau,calibrated,rmse,3.58014
Simstrat-LER,Sau,calibrated,nse,0.55413
Simstrat-LER,Sau,calibrated,r,0.74945
Simstrat-LER,Sau,calibrated,bias,-0.3222
Simstrat-LER,Scharmutzel,calibrated,rmse,0.79606
Simstrat-LER,Scharmutzel,calibrated,nse,0.96197
Simstrat-LER,Scharmutzel,calibrated,r,0.98326
Simstrat-LER,Scharmutzel,calibrated,bias,-0.01722
Simstrat-LER,Sparkling,calibrated,rmse,1.61081
Simstrat-LER,Sparkling,calibrated,nse,0.93099
Simstrat-LER,Sparkling,calibrated,r,0.97043
Simstrat-LER,Sparkling,calibrated,bias,-0.35204
Simstrat-LER,Stechlin,calibrated,rmse,0.7978
Simstrat-LER,Stechlin,calibrated,nse,0.97821
Simstrat-LER,Stechlin,calibrated,r,0.98907
Simstrat-LER,Stechlin,calibrated,bias,-0.03796
Simstrat-LER,Sunapee,calibrated,rmse,1.48276
Simstrat-LER,Sunapee,calibrated,nse,0.95048
Simstrat-LER,Sunapee,calibrated,r,0.97622
Simstrat-LER,Sunapee,calibrated,bias,-0.24632
Simstrat-LER,Tahoe,calibrated,rmse,0.47585
Simstrat-LER,Tahoe,calibrated,nse,0.93371
Simstrat-LER,Tahoe,calibrated,r,0.96781
Simstrat-LER,Tahoe,calibrated,bias,0.08479
Simstrat-LER,Taihu,calibrated,rmse,1.99295
Simstrat-LER,Taihu,calibrated,nse,0.94343
Simstrat-LER,Taihu,calibrated,r,0.97138
Simstrat-LER,Taihu,calibrated,bias,0.0964
Simstrat-LER,Tarawera,calibrated,rmse,0.60568
Simstrat-LER,Tarawera,calibrated,nse,0.9344
Simstrat-LER,Tarawera,calibrated,r,0.97031
Simstrat-LER,Tarawera,calibrated,bias,0.00629
Simstrat-LER,Thun,calibrated,rmse,1.0768
Simstrat-LER,Thun,calibrated,nse,0.864
Simstrat-LER,Thun,calibrated,r,0.97761
Simstrat-LER,Thun,calibrated,bias,-0.10446
Simstrat-LER,Toolik,calibrated,rmse,1.54086
Simstrat-LER,Toolik,calibrated,nse,0.81219
Simstrat-LER,Toolik,calibrated,r,0.91255
Simstrat-LER,Toolik,calibrated,bias,-0.15893
Simstrat-LER,Trout,calibrated,rmse,1.13056
Simstrat-LER,Trout,calibrated,nse,0.95727
Simstrat-LER,Trout,calibrated,r,0.98259
Simstrat-LER,Trout,calibrated,bias,0.03876
Simstrat-LER,TroutBog,calibrated,rmse,3.12991
Simstrat-LER,TroutBog,calibrated,nse,0.71551
Simstrat-LER,TroutBog,calibrated,r,0.88894
Simstrat-LER,TroutBog,calibrated,bias,0.74775
Simstrat-LER,TwoSisters,calibrated,rmse,2.98137
Simstrat-LER,TwoSisters,calibrated,nse,0.69351
Simstrat-LER,TwoSisters,calibrated,r,0.8373
Simstrat-LER,TwoSisters,calibrated,bias,0.21264
Simstrat-LER,Vendyurskoe,calibrated,rmse,1.55066
Simstrat-LER,Vendyurskoe,calibrated,nse,0.94303
Simstrat-LER,Vendyurskoe,calibrated,r,0.98573
Simstrat-LER,Vendyurskoe,calibrated,bias,-0.65166
Simstrat-LER,Vortsjarv,calibrated,rmse,1.03753
Simstrat-LER,Vortsjarv,calibrated,nse,0.9823
Simstrat-LER,Vortsjarv,calibrated,r,0.99331
Simstrat-LER,Vortsjarv,calibrated,bias,-0.31577
Simstrat-LER,Washington,calibrated,rmse,1.01357
Simstrat-LER,Washington,calibrated,nse,0.93971
Simstrat-LER,Washington,calibrated,r,0.97811
Simstrat-LER,Washington,calibrated,bias,-0.15458
Simstrat-LER,Windermere,calibrated,rmse,0.71968
Simstrat-LER,Windermere,calibrated,nse,0.96351
Simstrat-LER,Windermere,calibrated,r,0.98708
Simstrat-LER,Windermere,calibrated,bias,-0.15855
Simstrat-LER,Wingra,calibrated,rmse,2.01338
Simstrat-LER,Wingra,calibrated,nse,0.92523
Simstrat-LER,Wingra,calibrated,r,0.98079
Simstrat-LER,Wingra,calibrated,bias,-0.33862
Simstrat-LER,Zlutice,calibrated,rmse,1.15418
Simstrat-LER,Zlutice,calibrated,nse,0.97511
Simstrat-LER,Zlutice,calibrated,r,0.9881
Simstrat-LER,Zlutice,calibrated,bias,0.18147
Simstrat-LER,Zurich,calibrated,rmse,1.01944
Simstrat-LER,Zurich,calibrated,nse,0.9531
Simstrat-LER,Zurich,calibrated,r,0.97673
Simstrat-LER,Zurich,calibrated,bias,-0.13655
Simstrat-LER,Allequash,uncalibrated,rmse,3.56704
Simstrat-LER,Allequash,uncalibrated,nse,0.732
Simstrat-LER,Allequash,uncalibrated,r,0.92676
Simstrat-LER,Allequash,uncalibrated,bias,0.64936
Simstrat-LER,Alqueva,uncalibrated,rmse,3.88515
Simstrat-LER,Alqueva,uncalibrated,nse,0.24051
Simstrat-LER,Alqueva,uncalibrated,r,0.83691
Simstrat-LER,Alqueva,uncalibrated,bias,2.70964
Simstrat-LER,Annie,uncalibrated,rmse,4.99432
Simstrat-LER,Annie,uncalibrated,nse,-0.40074
Simstrat-LER,Annie,uncalibrated,r,0.816
Simstrat-LER,Annie,uncalibrated,bias,4.09582
Simstrat-LER,Arendsee,uncalibrated,rmse,2.31452
Simstrat-LER,Arendsee,uncalibrated,nse,0.65848
Simstrat-LER,Arendsee,uncalibrated,r,0.94339
Simstrat-LER,Arendsee,uncalibrated,bias,1.76603
Simstrat-LER,Argyle,uncalibrated,rmse,2.32954
Simstrat-LER,Argyle,uncalibrated,nse,0.12937
Simstrat-LER,Argyle,uncalibrated,r,0.72625
Simstrat-LER,Argyle,uncalibrated,bias,0.1029
Simstrat-LER,Biel,uncalibrated,rmse,1.14165
Simstrat-LER,Biel,uncalibrated,nse,0.93877
Simstrat-LER,Biel,uncalibrated,r,0.97275
Simstrat-LER,Biel,uncalibrated,bias,0.32073
Simstrat-LER,BigMuskellunge,uncalibrated,rmse,2.56889
Simstrat-LER,BigMuskellunge,uncalibrated,nse,0.82626
Simstrat-LER,BigMuskellunge,uncalibrated,r,0.9298
Simstrat-LER,BigMuskellunge,uncalibrated,bias,-0.18941
Simstrat-LER,BlackOak,uncalibrated,rmse,1.56514
Simstrat-LER,BlackOak,uncalibrated,nse,0.93478000000000006
Simstrat-LER,BlackOak,uncalibrated,r,0.96784
Simstrat-LER,BlackOak,uncalibrated,bias,0.20714
Simstrat-LER,Bosumtwi,uncalibrated,rmse,3.44714
Simstrat-LER,Bosumtwi,uncalibrated,nse,-5.84037
Simstrat-LER,Bosumtwi,uncalibrated,r,0.42183
Simstrat-LER,Bosumtwi,uncalibrated,bias,3.21264
Simstrat-LER,Bryrup,uncalibrated,rmse,2.123
Simstrat-LER,Bryrup,uncalibrated,nse,0.84427
Simstrat-LER,Bryrup,uncalibrated,r,0.96938
