model,lake,cali,metric,value
air2water6par,MtBold,calibrated,rmse,0.784583650602017
air2water6par,MtBold,calibrated,nse,0.957915356451113
air2water6par,MtBold,calibrated,r,0.97873557343587
air2water6par,MtBold,calibrated,bias,0.00195880332986477
air2water6par,MtBold,uncalibrated,rmse,3.39791410944965
air2water6par,MtBold,uncalibrated,nse,0.210649408199838
air2water6par,MtBold,uncalibrated,r,0.692693622298381
air2water6par,MtBold,uncalibrated,bias,-1.47683208116545
air2water6par,Muggelsee,calibrated,rmse,0.683263994110154
air2water6par,Muggelsee,calibrated,nse,0.989951785322326
air2water6par,Muggelsee,calibrated,r,0.994963408383988
air2water6par,Muggelsee,calibrated,bias,0.00213263888888887
air2water6par,Muggelsee,uncalibrated,rmse,1.15163467103459
air2water6par,Muggelsee,uncalibrated,nse,0.971454260589924
air2water6par,Muggelsee,uncalibrated,r,0.987461611715297
air2water6par,Muggelsee,uncalibrated,bias,0.0566839236111111
air2water6par,Neuchatel,calibrated,rmse,1.10856095791535
air2water6par,Neuchatel,calibrated,nse,0.966986875945516
air2water6par,Neuchatel,calibrated,r,0.983354909800848
air2water6par,Neuchatel,calibrated,bias,0.000174426229508194
air2water6par,Neuchatel,uncalibrated,rmse,1.39540811405371
air2water6par,Neuchatel,uncalibrated,nse,0.94769177858606
air2water6par,Neuchatel,uncalibrated,r,0.98105096614777
air2water6par,Neuchatel,uncalibrated,bias,-0.705438005464481
air2water6par,NohipaloMustjarv,calibrated,rmse,0.902434347967854
air2water6par,NohipaloMustjarv,calibrated,nse,0.985252277811348
air2water6par,NohipaloMustjarv,calibrated,r,0.993146456108601
air2water6par,NohipaloMustjarv,calibrated,bias,-0.142103517665131
air2water6par,NohipaloMustjarv,uncalibrated,rmse,1.89364598865248
air2water6par,NohipaloMustjarv,uncalibrated,nse,0.935063137891563
air2water6par,NohipaloMustjarv,uncalibrated,r,0.980385421763684
air2water6par,NohipaloMustjarv,uncalibrated,bias,-1.19861927803379
air2water6par,NohipaloValgejarv,calibrated,rmse,1.02546993336358
air2water6par,NohipaloValgejarv,calibrated,nse,0.981737036818526
air2water6par,NohipaloValgejarv,calibrated,r,0.992088394503489
air2water6par,NohipaloValgejarv,calibrated,bias,-0.228398909612626
air2water6par,NohipaloValgejarv,uncalibrated,rmse,1.92290717564851
air2water6par,NohipaloValgejarv,uncalibrated,nse,0.935784181740019
air2water6par,NohipaloValgejarv,uncalibrated,r,0.985727913858956
air2water6par,NohipaloValgejarv,uncalibrated,bias,-1.43558228120516
air2water6par,Okauchee,calibrated,rmse,0.724443836207679
air2water6par,Okauchee,calibrated,nse,0.991415571608484
air2water6par,Okauchee,calibrated,r,0.995699952514795
air2water6par,Okauchee,calibrated,bias,0.00593315789473686
air2water6par,Okauchee,uncalibrated,rmse,1.47035276798735
air2water6par,Okauchee,uncalibrated,nse,0.964637331826368
air2water6par,Okauchee,uncalibrated,r,0.995069640695276
air2water6par,Okauchee,uncalibrated,bias,-1.22509245614035
air2water6par,Paajarvi,calibrated,rmse,1.15469798190551
air2water6par,Paajarvi,calibrated,nse,0.958860018724393
air2water6par,Paajarvi,calibrated,r,0.979565066213001
air2water6par,Paajarvi,calibrated,bias,-0.0605722222222223
air2water6par,Paajarvi,uncalibrated,rmse,2.01522907686901
air2water6par,Paajarvi,uncalibrated,nse,0.874692773473004
air2water6par,Paajarvi,uncalibrated,r,0.972228818774839
air2water6par,Paajarvi,uncalibrated,bias,1.49977861111111
air2water6par,Rappbode,calibrated,rmse,1.04550806705094
air2water6par,Rappbode,calibrated,nse,0.971449531237812
air2water6par,Rappbode,calibrated,r,0.985636968550525
air2water6par,Rappbode,calibrated,bias,0.0182063364485981
air2water6par,Rappbode,uncalibrated,rmse,2.16719056040432
air2water6par,Rappbode,uncalibrated,nse,0.877325960105974
air2water6par,Rappbode,uncalibrated,r,0.983570640862409
air2water6par,Rappbode,uncalibrated,bias,1.78378028037383
air2water6par,Rimov,calibrated,rmse,1.04694344664683
air2water6par,Rimov,calibrated,nse,0.981364558180611
air2water6par,Rimov,calibrated,r,0.990655930333063
air2water6par,Rimov,calibrated,bias,0.0294845376220563
air2water6par,Rimov,uncalibrated,rmse,1.4949864056551
air2water6par,Rimov,uncalibrated,nse,0.962001387822159
air2water6par,Rimov,uncalibrated,r,0.98687688752197
air2water6par,Rimov,uncalibrated,bias,0.695083026995979
air2water6par,Rotorua,calibrated,rmse,0.594334143584721
air2water6par,Rotorua,calibrated,nse,0.980228557575762
air2water6par,Rotorua,calibrated,r,0.990064926520246
air2water6par,Rotorua,calibrated,bias,-6.76632302406436e-05
air2water6par,Rotorua,uncalibrated,rmse,4.12133468425584
air2water6par,Rotorua,uncalibrated,nse,0.0492797126281727
air2water6par,Rotorua,uncalibrated,r,0.843940147970469
air2water6par,Rotorua,uncalibrated,bias,-2.39102481099656
air2water6par,Sammamish,calibrated,rmse,0.696150831261477
air2water6par,Sammamish,calibrated,nse,0.98627112668567
air2water6par,Sammamish,calibrated,r,0.99311183996888
air2water6par,Sammamish,calibrated,bias,1.15413253915569e-06
air2water6par,Sammamish,uncalibrated,rmse,1.04886272591028
air2water6par,Sammamish,uncalibrated,nse,0.96883511639832
air2water6par,Sammamish,uncalibrated,r,0.986603220127868
air2water6par,Sammamish,uncalibrated,bias,0.289972129560685
air2water6par,Sau,calibrated,rmse,1.55334377028623
air2water6par,Sau,calibrated,nse,0.944220333586214
air2water6par,Sau,calibrated,r,0.971710012696738
air2water6par,Sau,calibrated,bias,-0.000654638403990033
air2water6par,Sau,uncalibrated,rmse,1.84935953922033
air2water6par,Sau,uncalibrated,nse,0.920935149112154
air2water6par,Sau,uncalibrated,r,0.966806968481443
air2water6par,Sau,uncalibrated,bias,0.215404039900249
air2water6par,Sparkling,calibrated,rmse,1.02803547435586
air2water6par,Sparkling,calibrated,nse,0.98131102067111
air2water6par,Sparkling,calibrated,r,0.99200153191415
air2water6par,Sparkling,calibrated,bias,-0.186046818257538
air2water6par,Sparkling,uncalibrated,rmse,1.58213447903247
air2water6par,Sparkling,uncalibrated,nse,0.955735437950446
air2water6par,Sparkling,uncalibrated,r,0.991913745676925
air2water6par,Sparkling,uncalibrated,bias,-1.24841033983008
air2water6par,Stechlin,calibrated,rmse,0.7700394214576
air2water6par,Stechlin,calibrated,nse,0.970566256977778
air2water6par,Stechlin,calibrated,r,0.985227401569668
air2water6par,Stechlin,calibrated,bias,-0.0115663485477178
air2water6par,Stechlin,uncalibrated,rmse,1.56885100627009
air2water6par,Stechlin,uncalibrated,nse,0.877824822970565
air2water6par,Stechlin,uncalibrated,r,0.983043187893629
air2water6par,Stechlin,uncalibrated,bias,1.32846995850622
air2water6par,Sunapee,calibrated,rmse,0.772577729488793
air2water6par,Sunapee,calibrated,nse,0.990007501479281
air2water6par,Sunapee,calibrated,r,0.99499218411741
air2water6par,Sunapee,calibrated,bias,0.00564437846397462
air2water6par,Sunapee,uncalibrated,rmse,1.13700854685597
air2water6par,Sunapee,uncalibrated,nse,0.978357013857816
air2water6par,Sunapee,uncalibrated,r,0.989791649004758
air2water6par,Sunapee,uncalibrated,bias,0.0919436975455264
air2water6par,Tahoe,calibrated,rmse,0.650703392893304
air2water6par,Tahoe,calibrated,nse,0.982583331886429
air2water6par,Tahoe,calibrated,r,0.991253722256096
air2water6par,Tahoe,calibrated,bias,-0.000694000000000118
air2water6par,Tahoe,uncalibrated,rmse,12.3885648582187
air2water6par,Tahoe,uncalibrated,nse,-5.31307474632088
air2water6par,Tahoe,uncalibrated,r,0.858779315634494
air2water6par,Tahoe,uncalibrated,bias,-11.5779154285714
air2water6par,Tarawera,calibrated,rmse,0.70389671999728
air2water6par,Tarawera,calibrated,nse,0.960233068804775
air2water6par,Tarawera,calibrated,r,0.97991523373508
air2water6par,Tarawera,calibrated,bias,0.00195299363057341
